date,time,DOY,LOGGERPOWER_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SHFSENS1_1_1_1,SHFSENS2_2_1_1,SHFSENS3_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,VERSION_1_1_1,_0_0_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[OTHER],[OTHER],[OTHER],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[OTHER],[OTHER]
2022-06-03,02:30,154.1041,1.00000,22.5000,12.3466,0.264955E-02,0.00000,0.125774E-01,99.9714,-28.5304,-41755.9,31010.5,30904.6,1.00000,1.00000,1.00000,0.635650,0.646436,0.579464,294.162,299.550,298.250,298.048,2.00000,0.00000
2022-06-03,03:00,154.1249,1.00000,22.5000,12.3368,-0.238461E-01,0.00000,0.728167E-02,99.9732,-25.2917,-42673.4,28837.4,156.788,1.00000,1.00000,1.00000,0.635678,0.646519,0.579900,294.159,299.550,298.250,297.917,2.00000,0.00000
2022-06-03,03:30,154.1458,1.00000,22.5000,12.3254,-0.662385E-02,0.00000,0.860561E-02,99.9714,-24.3538,-31779.9,32226.8,23470.7,1.00000,1.00000,1.00000,0.635750,0.646628,0.579794,294.041,299.550,298.250,297.850,2.00000,0.00000
2022-06-03,04:00,154.1666,1.00000,22.4100,12.3166,0.529911E-02,0.00000,0.860561E-02,99.9733,-28.6884,-59575.2,-15922.1,-40528.7,1.00000,1.00000,1.00000,0.635903,0.646953,0.579339,293.967,299.437,298.250,297.850,2.00000,0.00000
2022-06-03,04:30,154.1874,1.00000,22.3400,12.3082,0.105982E-01,0.00000,0.198591E-02,99.9704,-22.9448,-37140.1,24145.7,-792.618,1.00000,1.00000,1.00000,0.635128,0.648511,0.579719,294.049,299.350,298.213,297.850,2.00000,0.00000
2022-06-03,05:00,154.2083,1.00000,22.4800,12.2941,3.85908,0.00000,1.54372,99.9725,-40.7418,-64722.6,28999.4,-5254.44,1.00000,1.00000,1.00000,0.636211,0.648989,0.580383,293.950,299.224,298.066,297.850,2.00000,0.00000
2022-06-03,05:30,154.2291,1.00000,22.2222,12.3078,43.8634,0.00000,20.3828,99.9721,-30.8382,-63659.0,31518.4,8683.68,1.00000,1.00000,1.00000,0.636389,0.648975,0.580364,293.892,299.062,298.050,297.848,2.00000,0.00000
2022-06-03,06:00,154.2499,1.00000,22.2100,12.3222,80.1253,0.00000,32.3009,99.9734,-19.4274,-56675.5,30515.9,29360.7,1.00000,1.00000,1.00000,0.636156,0.648950,0.580311,294.099,299.050,298.050,297.850,2.00000,0.00000
2022-06-03,06:30,154.2707,1.00000,22.4200,12.3354,127.132,0.00000,45.5628,99.9724,-4.34397,-43741.5,16694.7,5440.06,1.00000,1.00000,1.00000,0.635422,0.648878,0.580147,294.383,299.050,298.050,297.850,2.00000,0.00000
2022-06-03,07:00,154.2916,1.00000,22.7400,12.3442,147.203,0.00000,47.0774,99.8624,9.40165,-39003.6,45447.4,9705.98,1.00000,1.00000,1.00000,0.636278,0.647567,0.578625,294.459,299.050,298.050,297.850,2.00000,0.00000
2022-06-03,07:30,154.3124,1.00000,22.7900,12.3992,322.100,0.00000,134.139,94.7664,119.076,-37828.1,31152.4,1396.01,1.00000,1.00000,1.00000,0.636550,0.646856,0.578667,294.609,298.837,298.050,297.850,2.00000,0.00000
2022-06-03,08:00,154.3332,1.00000,23.1103,12.6030,753.586,0.00000,375.024,89.3431,282.189,-51537.9,23185.6,16890.9,1.00000,1.00000,1.00000,0.635851,0.646902,0.578948,295.055,298.682,298.050,297.849,2.00000,0.00000
2022-06-03,08:30,154.3541,1.00000,24.4767,12.8866,786.212,0.00000,379.052,82.6201,287.029,-58575.9,-2151.40,-19468.5,1.00000,1.00000,1.00000,0.635400,0.646950,0.578894,295.148,298.558,298.033,297.850,2.00000,0.00000
2022-06-03,09:00,154.3749,1.00000,25.5333,13.0117,778.635,0.00000,368.726,67.4779,286.407,-58477.4,8513.81,-5376.77,1.00000,1.00000,1.00000,0.635450,0.648261,0.578889,295.294,298.582,297.926,297.850,2.00000,0.00000
2022-06-03,09:30,154.3957,1.00000,26.3000,13.5751,1362.54,0.00000,665.536,60.4917,521.849,-37368.6,26473.7,16354.9,1.00000,1.00000,1.00000,0.635550,0.647992,0.578783,296.031,298.703,297.863,297.850,2.00000,0.00000
2022-06-03,10:00,154.4165,1.00000,27.9233,13.6351,1359.31,0.00000,667.468,56.5683,530.442,-50553.9,13544.5,10754.2,1.00000,1.00000,1.00000,0.635336,0.647864,0.578989,297.009,298.573,297.922,297.850,2.00000,0.00000
2022-06-03,10:30,154.4374,1.00000,29.1700,13.6394,906.861,0.00000,449.919,57.5765,353.477,-34535.7,41719.8,2271.32,1.00000,1.00000,1.00000,0.635050,0.648056,0.579050,296.850,298.550,297.945,297.850,2.00000,0.00000
2022-06-03,11:00,154.4582,1.00000,29.4000,13.6443,957.648,0.00000,474.322,49.5845,369.863,-36751.6,29834.6,2293.82,1.00000,1.00000,1.00000,0.635008,0.647589,0.579353,296.961,298.550,298.041,297.850,2.00000,0.00000
2022-06-03,11:30,154.4790,1.00000,29.8400,13.6322,1398.29,0.00000,700.560,45.1681,547.022,-33094.2,17280.7,2980.02,1.00000,1.00000,1.00000,0.635000,0.646961,0.579700,297.627,298.550,298.049,297.919,2.00000,0.00000
2022-06-03,12:00,154.4999,1.00000,30.5100,13.6352,957.506,0.00000,486.018,47.3158,359.676,-32863.7,40001.9,15036.4,1.00000,1.00000,1.00000,0.635000,0.646611,0.579756,297.485,298.550,298.050,298.028,2.00000,0.00000
2022-06-03,12:30,154.5207,1.00000,30.6000,13.6327,967.356,0.00000,491.879,50.1680,367.884,-32453.6,27563.2,11471.8,1.00000,1.00000,1.00000,0.635000,0.646478,0.579467,297.501,298.550,298.050,298.050,2.00000,0.00000
2022-06-03,13:00,154.5415,1.00000,30.8300,13.6093,1307.09,0.00000,654.921,48.3103,507.670,-19908.9,26833.7,6282.26,1.00000,1.00000,1.00000,0.635000,0.646289,0.577836,297.790,298.443,298.050,298.050,2.00000,0.00000
2022-06-03,13:30,154.5624,1.00000,31.7467,13.5689,1406.63,0.00000,701.573,45.3919,540.326,-18781.8,29660.9,687.752,1.00000,1.00000,1.00000,0.634578,0.646328,0.577047,298.587,298.260,298.054,298.050,2.00000,0.00000
2022-06-03,14:00,154.5832,1.00000,32.4100,13.5479,1390.09,0.00000,690.805,45.9388,518.500,-34783.4,41982.9,11016.4,1.00000,1.00000,1.00000,0.634100,0.646417,0.576911,298.555,298.250,298.122,298.053,2.00000,0.00000
2022-06-03,14:30,154.6040,1.00000,32.4300,13.5661,1200.04,0.00000,584.717,45.4984,438.223,-20947.4,38499.4,11351.2,1.00000,1.00000,1.00000,0.634075,0.646069,0.576944,298.363,298.250,298.249,298.189,2.00000,0.00000
2022-06-03,15:00,154.6249,1.00000,32.5700,13.5644,1217.81,0.00000,600.289,45.1071,448.719,-20730.9,25892.0,4008.49,1.00000,1.00000,1.00000,0.634061,0.645358,0.576989,298.735,298.250,298.250,298.250,2.00000,0.00000
2022-06-03,15:30,154.6457,1.00000,33.1000,13.5476,1252.96,0.00000,616.524,42.6430,456.342,-24771.3,28589.3,6586.75,1.00000,1.00000,1.00000,0.634024,0.645083,0.576993,298.826,298.250,298.250,298.250,2.00000,0.00000
2022-06-03,16:00,154.6665,1.00000,33.6767,13.5236,1202.25,0.00000,584.508,35.9705,411.201,-40454.6,28099.7,-3962.50,1.00000,1.00000,1.00000,0.634214,0.644611,0.576997,299.402,298.250,298.257,298.481,2.00000,0.00000
2022-06-03,16:30,154.6873,1.00000,33.6321,13.5311,1054.19,0.00000,515.025,39.4743,349.758,-20787.4,33503.5,4860.69,1.00000,1.00000,1.00000,0.634943,0.644232,0.577000,298.993,298.251,298.293,298.550,2.00000,0.00000
2022-06-03,17:00,154.7082,1.00000,33.6067,13.3187,686.733,0.00000,330.277,40.5915,194.857,-35951.4,26959.2,9470.20,1.00000,1.00000,1.00000,0.634986,0.643739,0.577078,298.492,298.267,298.333,298.550,2.00000,0.00000
2022-06-03,18:00,154.7498,1.00000,29.3567,13.0035,334.156,0.00000,169.368,50.6237,84.6827,-42113.5,25507.5,9263.59,1.00000,1.00000,1.00000,0.634961,0.643095,0.577900,296.474,298.258,298.250,298.550,2.00000,0.00000
2022-06-03,18:30,154.7707,1.00000,28.7100,12.8284,241.933,0.00000,124.379,54.2203,36.4051,-23131.9,30615.2,21111.0,1.00000,1.00000,1.00000,0.634183,0.643045,0.577828,296.148,298.250,298.250,298.550,2.00000,0.00000
2022-06-03,19:00,154.7915,1.00000,27.1900,12.6829,80.2631,0.00000,42.5204,63.3796,-27.1069,-11391.8,51820.5,31151.5,1.00000,1.00000,1.00000,0.634000,0.643097,0.577422,294.767,298.250,298.250,298.550,2.00000,0.00000
2022-06-03,19:30,154.8123,1.00000,25.2433,12.6237,29.2896,0.00000,18.7821,68.5273,-36.4557,-14664.0,29983.3,31753.3,1.00000,1.00000,1.00000,0.634000,0.643172,0.576703,293.771,298.250,298.250,298.550,2.00000,0.00000
2022-06-03,20:00,154.8332,1.00000,23.4633,12.5760,1.46786,0.00000,1.73900,73.0393,-54.7466,-9511.42,34334.2,34151.8,1.00000,1.00000,1.00000,0.634006,0.643389,0.576705,292.852,298.250,298.152,298.550,2.00000,0.00000
2022-06-03,20:30,154.8540,1.00000,21.8367,12.5452,0.158974E-01,0.00000,0.423661E-01,75.7902,-55.8486,-22724.1,37361.0,28595.2,1.00000,1.00000,1.00000,0.634006,0.644261,0.576892,292.081,298.250,298.050,298.525,2.00000,0.00000
